image_id,role,face_detected,gender,race
106691539.jpg,doctor,False,unknown,unknown
2065349349.jpg,doctor,False,unknown,unknown
2066986243.jpg,doctor,False,unknown,unknown
2131716223.jpg,doctor,False,unknown,unknown
2437798869.jpg,doctor,False,unknown,unknown
261436644.jpg,doctor,False,unknown,unknown
2705860464.jpg,doctor,False,unknown,unknown
2785408815.jpg,doctor,True,Man,middle eastern
2810289270.jpg,doctor,False,unknown,unknown
288406480.jpg,doctor,True,Woman,white
2910297808.jpg,doctor,False,unknown,unknown
3018895758.jpg,doctor,True,Man,white
3026102745.jpg,doctor,False,unknown,unknown
3228358059.jpg,doctor,False,unknown,unknown
3242881252.jpg,doctor,False,unknown,unknown
3494059.jpg,doctor,False,unknown,unknown
3679187018.jpg,doctor,False,unknown,unknown
3721745504.jpg,doctor,True,Man,white
380808487.jpg,doctor,False,unknown,unknown
3856149623.jpg,doctor,True,Man,white
3856921828.jpg,doctor,True,Woman,white
430543100.jpg,doctor,True,Woman,asian
4453784684.jpg,doctor,False,unknown,unknown
4476440464.jpg,doctor,False,unknown,unknown
4476454760.jpg,doctor,False,unknown,unknown
459804826.jpg,doctor,False,unknown,unknown
4616443347.jpg,doctor,False,unknown,unknown
4688301633.jpg,doctor,False,unknown,unknown
4688316741.jpg,doctor,False,unknown,unknown
4688342011.jpg,doctor,False,unknown,unknown
4688957248.jpg,doctor,False,unknown,unknown
4688958106.jpg,doctor,False,unknown,unknown
4688958504.jpg,doctor,False,unknown,unknown
4688989316.jpg,doctor,True,Man,white
4688994030.jpg,doctor,False,unknown,unknown
4688997422.jpg,doctor,False,unknown,unknown
4689001890.jpg,doctor,False,unknown,unknown
4689003496.jpg,doctor,False,unknown,unknown
4810350090.jpg,doctor,False,unknown,unknown
4858202572.jpg,doctor,True,Man,white
5207964886.jpg,doctor,False,unknown,unknown
5436250638.jpg,doctor,False,unknown,unknown
5519356022.jpg,doctor,False,unknown,unknown
6086510173.jpg,doctor,False,unknown,unknown
6364046387.jpg,doctor,False,unknown,unknown
6739641349.jpg,doctor,False,unknown,unknown
7027910155.jpg,doctor,True,Man,white
76739724.jpg,doctor,True,Man,white
1680674943.jpg,nurse,True,Man,white
236144859.jpg,nurse,False,unknown,unknown
2665904080.jpg,nurse,False,unknown,unknown
2705099765.jpg,nurse,False,unknown,unknown
2705103851.jpg,nurse,True,Man,middle eastern
2884750527.jpg,nurse,False,unknown,unknown
2897141031.jpg,nurse,True,Man,asian
2911553636.jpg,nurse,False,unknown,unknown
317413869.jpg,nurse,True,Man,black
3258993719.jpg,nurse,True,Man,white
375489940.jpg,nurse,False,unknown,unknown
3805214721.jpg,nurse,False,unknown,unknown
3856176585.jpg,nurse,False,unknown,unknown
3856178809.jpg,nurse,True,Woman,white
3856182861.jpg,nurse,True,Man,white
4057116288.jpg,nurse,False,unknown,unknown
4199589368.jpg,nurse,True,Woman,white
4688351939.jpg,nurse,False,unknown,unknown
4857560023.jpg,nurse,False,unknown,unknown
4857561027.jpg,nurse,False,unknown,unknown
5758838589.jpg,nurse,False,unknown,unknown
6073765731.jpg,nurse,False,unknown,unknown
7036494665.jpg,nurse,True,Man,white
742586128.jpg,nurse,False,unknown,unknown
1093807815.jpg,teacher,True,Man,black
111061041.jpg,teacher,False,unknown,unknown
1158505981.jpg,teacher,False,unknown,unknown
1175268298.jpg,teacher,False,unknown,unknown
1248747267.jpg,teacher,True,Woman,latino hispanic
1306824952.jpg,teacher,False,unknown,unknown
1413647425.jpg,teacher,False,unknown,unknown
152881593.jpg,teacher,False,unknown,unknown
1535963458.jpg,teacher,False,unknown,unknown
1559968723.jpg,teacher,False,unknown,unknown
15688683.jpg,teacher,False,unknown,unknown
158898445.jpg,teacher,False,unknown,unknown
1801283994.jpg,teacher,False,unknown,unknown
1924261173.jpg,teacher,False,unknown,unknown
1925066432.jpg,teacher,False,unknown,unknown
1937816088.jpg,teacher,False,unknown,unknown
1939402682.jpg,teacher,False,unknown,unknown
1974820694.jpg,teacher,False,unknown,unknown
19986766.jpg,teacher,True,Man,white
2053683299.jpg,teacher,True,Man,white
2074430847.jpg,teacher,True,Man,asian
2078709661.jpg,teacher,False,unknown,unknown
2079499010.jpg,teacher,False,unknown,unknown
2104091463.jpg,teacher,False,unknown,unknown
212857743.jpg,teacher,False,unknown,unknown
2151149988.jpg,teacher,True,Woman,asian
2155653460.jpg,teacher,False,unknown,unknown
2209317.jpg,teacher,False,unknown,unknown
221024947.jpg,teacher,True,Man,white
221586389.jpg,teacher,False,unknown,unknown
2250479700.jpg,teacher,True,Man,white
228447922.jpg,teacher,False,unknown,unknown
2325436092.jpg,teacher,False,unknown,unknown
2325436612.jpg,teacher,False,unknown,unknown
2355339096.jpg,teacher,True,Man,white
2358816385.jpg,teacher,False,unknown,unknown
2390286467.jpg,teacher,True,Man,white
2425148763.jpg,teacher,True,Man,white
2446928343.jpg,teacher,True,Woman,white
2447754764.jpg,teacher,False,unknown,unknown
245815603.jpg,teacher,False,unknown,unknown
2477925561.jpg,teacher,False,unknown,unknown
2511782353.jpg,teacher,False,unknown,unknown
25534384.jpg,teacher,False,unknown,unknown
256405548.jpg,teacher,True,Man,white
2572604969.jpg,teacher,False,unknown,unknown
2572988623.jpg,teacher,False,unknown,unknown
2581472438.jpg,teacher,False,unknown,unknown
2581690718.jpg,teacher,True,Woman,white
2596474836.jpg,teacher,True,Man,asian
2620756624.jpg,teacher,True,Man,white
2631290870.jpg,teacher,False,unknown,unknown
2652207781.jpg,teacher,False,unknown,unknown
2653493856.jpg,teacher,False,unknown,unknown
2677377747.jpg,teacher,True,Woman,white
2719575713.jpg,teacher,True,Man,white
2759622561.jpg,teacher,False,unknown,unknown
2759625199.jpg,teacher,False,unknown,unknown
2760560588.jpg,teacher,False,unknown,unknown
2825897091.jpg,teacher,False,unknown,unknown
282741726.jpg,teacher,False,unknown,unknown
2862721322.jpg,teacher,False,unknown,unknown
2885861465.jpg,teacher,False,unknown,unknown
2908834379.jpg,teacher,False,unknown,unknown
2944553914.jpg,teacher,False,unknown,unknown
299265726.jpg,teacher,False,unknown,unknown
3012517885.jpg,teacher,True,Man,black
303103036.jpg,teacher,True,Woman,white
303103123.jpg,teacher,True,Man,white
303103209.jpg,teacher,False,unknown,unknown
3043908909.jpg,teacher,True,Man,white
3044746136.jpg,teacher,False,unknown,unknown
3087336221.jpg,teacher,False,unknown,unknown
3097956754.jpg,teacher,False,unknown,unknown
3097969438.jpg,teacher,False,unknown,unknown
3101442804.jpg,teacher,False,unknown,unknown
3178387943.jpg,teacher,False,unknown,unknown
3217910740.jpg,teacher,False,unknown,unknown
3240470193.jpg,teacher,False,unknown,unknown
3240519143.jpg,teacher,True,Man,middle eastern
3240570205.jpg,teacher,False,unknown,unknown
3260428543.jpg,teacher,False,unknown,unknown
3288173388.jpg,teacher,False,unknown,unknown
3303155124.jpg,teacher,True,Woman,white
3313869283.jpg,teacher,False,unknown,unknown
